id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý ticket P1 đã thay đổi từ 6 giờ xuống 4 giờ trong phiên bản v2026.1 (2026-01-15) so với phiên bản trước đó [1].,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,"All claims in the answer are directly supported by the context, specifically regarding the change in SLA for P1 ticket resolution.",5,Directly answers the question by specifying the change in SLA for P1 tickets and provides the version and date of the change.,5,Retrieved: 1/1 expected sources,4,"Missing: previous version number (v2025.3), confirmation that there was no change in the previous version",baseline_dense
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Khi làm việc remote, bạn phải sử dụng VPN và được kết nối trên tối đa 2 thiết bị cùng lúc [1].","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",4,"The answer is mostly grounded in the context, but the detail about connecting on 'tối đa 2 thiết bị cùng lúc' is not explicitly stated in the provided context.",5,Directly answers the question with the specific detail about the maximum number of devices that can be connected.,5,Retrieved: 2/2 expected sources,3,"Missing: VPN is mandatory according to HR Leave Policy, specific VPN software is Cisco AnyConnect, source of information (IT Helpdesk FAQ)",baseline_dense
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,Đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale và sản phẩm đã được kích hoạt sẽ không được hoàn tiền [1].,Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,4,"The answer correctly states that orders with special discount codes from Flash Sale are not eligible for refunds, but it adds that activated products are also non-refundable, which is not explicitly mentioned in the provided context.",5,Directly answers the question regarding the refund policy for Flash Sale orders and provides clear information about the conditions.,5,Retrieved: 1/1 expected sources,4,"Missing: reference to Điều 3 của chính sách, mention of the two exceptions explicitly",baseline_dense
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit thay vì hoàn tiền, bạn sẽ nhận được giá trị 110% so với số tiền gốc [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,"All claims in the answer are directly supported by the context, specifically regarding the store credit value being 110% of the original amount.",5,Directly answers the question with the specific percentage of store credit compared to the original amount.,5,Retrieved: 1/1 expected sources,5,Complete,baseline_dense
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","Có, contractor từ bên ngoài công ty có thể được cấp quyền Admin Access. Thời gian xử lý là 5 ngày làm việc và yêu cầu thêm là phải hoàn thành training bắt buộc về security policy [2].","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",2,"The answer claims that contractors can receive Admin Access and specifies a processing time of 5 working days, neither of which is supported by the provided context.",5,"Directly answers the question with all necessary details regarding the possibility, timeframe, and special requirements.",5,Retrieved: 1/1 expected sources,4,Missing: phê duyệt từ IT Manager và CISO,baseline_dense
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Quy trình cấp quyền tạm thời cho engineer trong sự cố P1 như sau:

1. On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời.
2. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
3. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",4,"The answer is mostly grounded in the context, but it introduces the detail about logging temporary permissions into the Security Audit system, which is not explicitly mentioned in the provided context.",5,Directly answers the question with all necessary details regarding the process and duration of temporary access.,5,Retrieved: 2/2 expected sources,4,"Missing: contact information for on-call, SLA P1 mention",baseline_dense
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Tôi không biết.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",5,Abstain correctly - no hallucination,1,The answer does not address the question at all and provides no relevant information.,,No expected sources,1,"Missing: no information about penalties, no reference to existing documentation, no mention of SLA target or processing procedures",baseline_dense
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm [2]. Số ngày này không giống với số ngày cần giấy tờ khi nghỉ ốm, vì nghỉ ốm yêu cầu thông báo trước 9:00 sáng ngày nghỉ và cần giấy tờ y tế nếu nghỉ trên 3 ngày liên tiếp [1].",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,4,"The answer accurately reflects the requirement to notify at least 3 working days in advance for annual leave, which is grounded in the context. However, the mention of sick leave procedures and the specific requirement for notifying by 9:00 AM is not explicitly found in the provided context, indicating a minor detail that may not be fully grounded.",5,"Directly answers the question with all details, including the required notice period for both annual leave and sick leave.",5,Retrieved: 1/1 expected sources,3,"Missing: clarification that both situations involve the same '3 days' concept, specific mention of HR Portal for vacation requests",baseline_dense
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Có, mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn [1].","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",2,"The answer about password change frequency is not supported by the provided context, which does not mention password expiration or change policies.",5,"Directly answers the question with all necessary details regarding password change frequency, reminder period, and the process.",5,Retrieved: 1/1 expected sources,3,"Missing: link to reset password, contact information for Helpdesk",baseline_dense
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].,Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,"All claims in the answer are directly supported by the context, specifically regarding the applicability of the refund policy based on the order date.",5,Directly answers the question and provides additional context about the applicable refund policy.,5,Retrieved: 1/1 expected sources,5,Complete,baseline_dense
